,Benchmark,3.9.10,nogil-3.9,3.9.18,3.10.13,3.11.8,3.12.0,nogil-3.12,3.12.2
0,2to3,0.48101,0.53145,0.47391,0.39516,0.31132,0.34489,0.30951,0.34338
1,async_generators,0.60018,0.79732,0.5833,0.53394,0.43459,0.62428,0.44237,0.61525
2,async_tree_cpu_io_mixed,1.32,0.8973,1.32,1.1,0.94075,0.87024,0.87574,0.87682
3,async_tree_eager,0.95105,0.51888,0.94271,0.82215,0.60807,0.1392,0.62087,0.14497
4,async_tree_eager_cpu_io_mixed,1.33,0.88515,1.32,1.11,0.94598,0.50087,0.88251,0.50489
5,async_tree_eager_io,2.23,1.13,2.22,1.92,1.39,1.39,1.39,1.41
6,async_tree_eager_memoization,1.16,0.63756,1.14,1.0,0.73784,0.32687,0.74562,0.33387
7,async_tree_io,2.22,1.13,2.19,1.92,1.4,1.3,1.39,1.3
8,async_tree_memoization,1.15,0.63827,1.14,1.01,0.73592,0.70996,0.74653,0.71565
9,async_tree_none,0.94854,0.52487,0.93164,0.82462,0.60615,0.56662,0.62057,0.57475
10,asyncio_tcp,1.05,0.9433,1.04,0.97433,0.93438,0.59036,0.58165,0.59354
11,asyncio_tcp_ssl,3.69,3.05,3.54,3.39,3.7,2.14,2.16,2.16
12,asyncio_websockets,0.67,0.65722,0.66674,0.68159,0.67553,0.67575,0.67414,0.67423
13,bench_mp_pool,0.02642,0.00585,0.03965,0.02323,0.00677,0.00664,0.00652,0.00663
14,bench_thread_pool,0.0015,0.00151,0.00143,0.00127,0.00119,0.00123,0.00115,0.00124
15,chameleon,0.01396,0.0122,0.01344,0.0109,0.00838,0.00898,0.00819,0.00892
16,chaos,0.18245,0.14365,0.17731,0.13065,0.08119,0.08179,0.08045,0.08223
17,comprehensions,4.132e-05,4.238e-05,4.153e-05,3.202e-05,2.729e-05,2.844e-05,3.073e-05,2.759e-05
18,coroutines,0.06626,0.09774,0.06543,0.03934,0.03222,0.03084,0.03113,0.03032
19,coverage,0.07568,1.12,0.07548,0.08642,0.08955,0.09745,,0.08044
20,create_gc_cycles,0.00156,0.00216,0.00151,0.00151,0.00129,0.0013,0.00128,0.00129
21,crypto_pyaes,0.17701,0.16303,0.18041,0.14086,0.08768,0.09738,0.08933,0.09826
22,dask,0.80293,,0.78554,0.65185,0.5274,0.64944,0.71094,0.64451
23,deepcopy,0.0006739,0.00057757,0.00065336,0.00053388,0.00043573,0.00047786,0.00040956,0.00047413
24,deepcopy_memo,7.959e-05,5.645e-05,7.687e-05,6.197e-05,4.984e-05,5.093e-05,4.41e-05,5.143e-05
25,deepcopy_reduce,5.93e-06,5.34e-06,5.75e-06,4.64e-06,3.88e-06,4.34e-06,3.68e-06,4.31e-06
26,deltablue,0.01145,0.00718,0.01185,0.00922,0.00484,0.00424,0.00397,0.00432
27,docutils,4.31,5.85,4.34,3.86,3.11,3.43,3.06,3.38
28,dulwich_log,0.13011,0.12692,0.12732,0.10521,0.08747,0.09692,0.08585,0.09583
29,fannkuch,0.73851,0.71235,0.72119,0.58525,0.48203,0.52373,0.4464,0.51787
30,float,0.18788,0.16144,0.17946,0.13777,0.09474,0.10732,0.09221,0.10901
31,gc_traversal,0.00419,,0.00396,0.00436,0.00425,0.00421,0.00408,0.00409
32,generators,0.0814,0.0977,0.0802,0.06546,0.06065,0.04039,0.06445,0.04095
33,genshi_text,0.04714,0.06856,0.04543,0.03613,0.02777,0.02981,0.02627,0.03075
34,genshi_xml,0.0922,0.10674,0.09108,0.0743,0.06325,0.06615,0.05875,0.06677
35,go,0.38392,0.21543,0.38704,0.28337,0.17087,0.1685,0.15854,0.1684
36,hexiom,0.01458,0.00989,0.01501,0.01151,0.00772,0.00755,0.00731,0.00768
37,html5lib,0.13026,0.10507,0.13166,0.10137,0.07322,0.07678,0.06866,0.07627
38,json_dumps,0.01841,0.01852,0.01814,0.01545,0.01471,0.01311,0.0121,0.01325
39,json_loads,3.554e-05,4.419e-05,3.582e-05,3.319e-05,2.97e-05,3.293e-05,2.917e-05,3.298e-05
40,logging_format,1.485e-05,1.219e-05,1.46e-05,1.156e-05,8.49e-06,8.82e-06,8.14e-06,8.98e-06
41,logging_silent,3.0148e-07,1.3621e-07,3.0586e-07,2.1696e-07,1.3273e-07,1.3985e-07,1.1949e-07,1.3839e-07
42,logging_simple,1.363e-05,1.084e-05,1.325e-05,1.057e-05,7.77e-06,8.1e-06,7.42e-06,8.17e-06
43,mako,0.02494,0.02343,0.02404,0.01803,0.01269,0.01354,0.01201,0.01359
44,mdp,4.17,4.54,4.1,3.62,3.3,3.46,3.16,3.42
45,meteor_contest,0.15658,0.15794,0.15608,0.14097,0.13073,0.13328,0.12504,0.13516
46,nbody,0.21902,0.22617,0.21895,0.16751,0.11776,0.12074,0.1162,0.12202
47,nqueens,0.15663,0.16271,0.15494,0.12161,0.10252,0.10988,0.09629,0.11039
48,pathlib,0.03112,0.03275,0.02993,0.02627,0.0243,0.02657,0.02426,0.02734
49,pickle,1.186e-05,1.823e-05,1.205e-05,1.148e-05,1.136e-05,1.242e-05,1.21e-05,1.24e-05
50,pickle_dict,3.433e-05,3.442e-05,3.383e-05,3.25e-05,3.378e-05,3.301e-05,3.192e-05,3.495e-05
51,pickle_list,5.1e-06,5.06e-06,5.07e-06,4.5e-06,4.35e-06,5.13e-06,4.33e-06,5.05e-06
52,pickle_pure_python,0.00068778,0.00047537,0.00068458,0.00054406,0.00037161,0.00038259,0.0003432,0.00038495
53,pidigits,0.22288,0.22892,0.21882,0.22044,0.21931,0.21732,0.21471,0.21611
54,pprint_pformat,2.19,2.21,2.16,2.38,1.77,2.01,1.68,2.03
55,pyflate,1.07,0.80439,1.05,0.82795,0.52255,0.55288,0.48685,0.5714
56,python_startup,0.01263,0.01314,0.0125,0.01131,0.01069,0.01185,0.01065,0.01167
57,python_startup_no_site,0.00822,0.00854,0.0081,0.00728,0.00792,0.00898,0.00796,0.00874
58,raytrace,0.80672,0.62446,0.80798,0.59856,0.36326,0.39265,0.34678,0.39378
59,regex_compile,0.27849,0.29482,0.27538,0.21347,0.16059,0.18361,0.15479,0.17804
60,regex_dna,0.25147,0.24164,0.24912,0.24954,0.21511,0.22557,0.22099,0.22115
61,regex_effbot,0.00402,0.00414,0.00394,0.00394,0.00356,0.00406,0.00388,0.00402
62,regex_v8,0.03226,0.032,0.03181,0.03129,0.02567,0.02664,0.02495,0.02609
63,richards,0.10783,0.05671,0.1081,0.09153,0.05915,0.0538,0.04983,0.05598
64,richards_super,0.13111,0.075,0.13062,0.10841,0.07147,0.06117,0.06191,0.06405
65,scimark_fft,0.60958,0.57679,0.6096,0.50163,0.40557,0.47468,0.40582,0.47691
66,scimark_lu,0.25372,0.21248,0.25415,0.20025,0.14056,0.15287,0.13562,0.15525
67,scimark_monte_carlo,0.1713,0.15517,0.16989,0.13458,0.08726,0.09235,0.08063,0.09233
68,scimark_sor,0.3138,0.22021,0.30365,0.23558,0.14738,0.16321,0.13818,0.1643
69,scimark_sparse_mat_mult,0.00766,0.00788,0.00827,0.00644,0.0053,0.00585,0.00477,0.00599
70,spectral_norm,0.2219,0.18173,0.22244,0.18177,0.13192,0.13964,0.12668,0.14335
71,sqlalchemy_declarative,0.22873,,0.22545,0.19585,0.16734,0.20861,0.16397,0.21154
72,sqlalchemy_imperative,0.03743,,0.03699,0.03039,0.02521,0.03161,0.02545,0.03135
73,sqlglot_normalize,0.20907,0.22498,0.20536,0.16478,0.13395,0.14534,0.12847,0.14687
74,sqlglot_optimize,0.09979,0.0962,0.098,0.07946,0.0652,0.07197,0.06226,0.07227
75,sqlglot_parse,0.00343,0.00307,0.00338,0.00252,0.00173,0.00167,0.00174,0.00168
76,sqlglot_transpile,0.00398,0.00348,0.00391,0.00296,0.00204,0.00204,0.00205,0.00205
77,sqlite_synth,4.38e-06,4.47e-06,4.2e-06,3.3e-06,2.81e-06,3.32e-06,2.79e-06,3.23e-06
78,sympy_expand,0.84836,0.76242,0.83839,0.66228,0.57954,0.62851,0.55627,0.6224
79,sympy_integrate,0.03492,0.03413,0.03448,0.02999,0.02511,0.02625,0.02485,0.02596
80,sympy_str,0.50105,0.48957,0.49687,0.40911,0.35418,0.38874,0.34835,0.37973
81,sympy_sum,0.27381,0.29164,0.27177,0.23931,0.20821,0.22063,0.20961,0.21298
82,telco,0.00942,0.01095,0.00942,0.00794,0.00808,0.0089,0.00766,0.00902
83,tomli_loads,4.07,3.65,3.94,3.34,2.62,2.67,2.4,2.71
84,tornado_http,0.2262,0.18766,0.2209,0.19602,0.1522,0.15603,,0.15633
85,typing_runtime_protocols,0.00082203,0.00087491,0.00080283,0.00062613,0.00058608,0.00019163,0.00056818,0.00016119
86,unpack_sequence,7.021e-08,6.259e-08,7.029e-08,6.955e-08,5.548e-08,5.141e-08,5.213e-08,5.18e-08
87,unpickle,1.854e-05,2.582e-05,1.883e-05,1.624e-05,1.525e-05,1.86e-05,1.554e-05,1.948e-05
88,unpickle_list,5.91e-06,7.3e-06,5.99e-06,6.22e-06,5.87e-06,6.32e-06,5.63e-06,6.55e-06
89,unpickle_pure_python,0.00050371,0.00037268,0.00049963,0.00037072,0.00028085,0.00028806,0.00024299,0.00027743
90,xml_etree_generate,0.14117,0.12266,0.13715,0.11706,0.09893,0.11588,0.09764,0.11563
91,xml_etree_iterparse,0.1527,0.12931,0.14939,0.13427,0.12758,0.13485,0.12654,0.13587
92,xml_etree_parse,0.20682,0.18674,0.20554,0.18996,0.18645,0.18658,0.1847,0.18832
93,xml_etree_process,0.11035,0.09775,0.11086,0.09519,0.06924,0.07819,0.06687,0.07841
